id,stats_id,cbs_id,fleaflicker_id,nfl_id,espn_id,fftoday_id,numfire_id,fantasypro_id,fantasydata_id,fantasynerd_id,rts_id,fantasypro_num_id,gsis_id,sleeper_id
10651,25379,1853727,7848,2530660,14583,12226,kamar-aiken,kamar-aiken,12722,1547,15037,,00-0028497,794
10653,25358,1264599,7994,2530491,14519,12227,josh-bynes,josh-bynes,12815,,,11167,00-0028278,821
10662,25593,1857137,8020,2531080,14739,,ben-jacobs,ben-jacobs,15703,,,,00-0028698,1740
10674,25234,1724424,8219,2495453,14403,12245,andre-holmes,andre-holmes,13264,1592,13900,,00-0028263,940
10675,25048,1704674,7747,2495356,14310,12247,cedric-thornton,cedric-thornton,12716,,,,00-0028424,791
10676,25096,1244475,7881,2530790,14292,12238,,michael-morgan,13474,,,,00-0028443,994
10689,25481,1117379,7966,2495461,14518,12271,shaun-draughn,shaun-draughn,13158,1502,14237,,00-0028202,913
10695,25711,1631912,8382,2533031,14874,12276,andrew-luck,andrew-luck,14008,1932,13918,,00-0029668,1111
10696,25712,1620788,8628,2533033,14875,12277,robert-griffin-iii,robert-griffin-iii,14257,1806,13919,11173,00-0029665,1169
10697,25718,1273654,8514,2532956,14876,12283,ryan-tannehill,ryan-tannehill,13799,1758,13925,11174,00-0029701,1049
10698,25732,1272538,8445,2532970,14878,12297,brandon-weeden,brandon-weeden,13910,1877,13939,,00-0029677,1085
10699,25798,1631750,8562,2532842,14877,12362,nick-foles,nick-foles,13723,1801,14005,11176,00-0029567,1029
10700,25812,1272574,8625,2532820,14880,12376,kirk-cousins,kirk-cousins,14252,1805,14019,11177,00-0029604,1166
10701,26399,1274372,8772,2532917,14882,15007,kellen-moore,kellen-moore,14219,1898,14171,,00-0029234,1158
10702,25767,1664777,8458,2533436,14879,12332,brock-osweiler,brock-osweiler,14053,1814,13974,,00-0029682,1126
10703,25785,1272242,8598,2532975,14881,12349,russell-wilson,russell-wilson,14536,1847,13992,11180,00-0029263,1234
10706,25713,1691430,8441,2533032,14884,12278,trent-richardson,trent-richardson,13902,1879,13920,,00-0029675,1082
10708,25807,1691169,8512,2533034,14886,12371,lamar-miller,lamar-miller,13791,1761,14014,11185,00-0029615,1048
10709,25741,1274369,8613,2532899,14885,12306,doug-martin,doug-martin,14385,1981,13948,,00-0029613,1195
10710,26006,1631997,8954,2533037,14889,15028,chris-polk,chris-polk,13735,1996,14172,,00-0029438,1033
10713,25794,1713803,8399,2533545,14891,12358,bernard-pierce,bernard-pierce,14687,1866,14001,,00-0029264,1263
10714,25816,1272825,8596,2533460,14894,12380,robert-turbin,robert-turbin,14533,1849,14023,,00-0029273,1232
