Rank,Player ID,Player Name,Team,Position,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,0-9 RecTDs,10-19 RecTDs,20-29 RecTDs,30-39 RecTDs,40-49 RecTDs,50+ RecTDs,>= 50yds,>= 100yds,>= 150yds,>= 200yds,Rush Yds,Rush TDs,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
119,13634,"Pettis, Dante",BUF,WR,31.7,3.3,14.5,181.0,1.1,1.1,0.0,0.0,0.0,0.0,0.0,0.7,0.4,0.1,0.1,0.0,0.0,412.0,1.1,3.3,22.7
120,15777,"Austin III, Calvin",NYG,WR,31.3,1.5,15.5,171.0,0.9,0.0,0.5,0.4,0.0,0.0,0.0,0.7,0.3,0.1,0.0,0.0,0.0,201.0,0.0,2.4,22.5
121,13176,"Jones, Zay",ARI,WR,25.7,2.5,15.8,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.4,0.1,0.1,0.0,0.0,0.0,0.0,1.4,22.3
122,15301,"Atwell, Tutu",MIA,WR,40.2,4.8,19.1,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.4,0.1,0.1,14.0,0.0,151.0,0.0,1.2,22.0
123,17080,"Noel, Jaylin",HOU,WR,25.4,3.4,15.5,171.0,0.5,0.4,0.0,0.0,0.0,0.1,0.0,0.7,0.3,0.1,0.0,7.0,0.0,461.0,0.0,2.4,21.0
124,14858,"Jefferson, Van",WAS,WR,25.3,0.7,14.5,164.0,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.7,0.3,0.1,0.0,0.0,0.0,12.0,0.0,2.0,20.6
125,15765,"Austin, Kevin",NOS,WR,41.7,2.7,16.7,184.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.7,0.4,0.1,0.1,0.0,0.0,0.0,0.0,1.5,19.9
126,16633,"Whittington, Jordan",LAR,WR,23.4,1.4,16.2,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.4,0.1,0.1,5.0,0.0,447.0,0.0,0.3,19.4
127,14118,"Humphrey, Lil'Jordan",DEN,WR,20.4,3.1,9.5,116.0,1.1,0.2,0.0,0.9,0.0,0.0,0.0,0.5,0.2,0.1,0.0,0.0,0.0,0.0,0.0,3.5,17.9
128,17529,"Thompson, Brenen",LAC,WR,34.1,4.2,18.5,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.3,0.1,0.0,12.0,0.0,145.0,0.4,1.7,17.6
129,16629,"Wilson, Roman",PIT,WR,28.1,2.3,14.5,124.0,0.8,0.0,0.0,0.8,0.0,0.0,0.0,0.5,0.2,0.1,0.0,0.0,0.0,0.0,0.4,1.9,16.7
130,17520,"Hurst, Ted",TBB,WR,25.0,1.1,16.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.3,0.1,0.0,3.0,0.0,138.0,0.0,0.7,16.3
131,13172,"Brown, Noah",WAS,WR,22.5,1.5,12.3,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,15.7
132,15752,"Burks, Treylon",WAS,WR,24.5,3.4,9.3,130.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.3,0.1,0.0,2.0,0.0,98.0,0.2,3.4,15.7
133,16634,"Weaver, Xavier",ARI,WR,28.6,5.0,15.5,140.0,0.3,0.0,0.0,0.0,0.2,0.0,0.0,0.6,0.3,0.1,0.0,-0.2,0.0,140.0,0.0,1.1,15.6
134,16403,"Tinsley, Mitchell",CIN,WR,19.5,4.2,5.3,82.0,1.2,0.0,1.2,0.0,0.0,0.0,0.0,0.3,0.2,0.1,0.0,0.0,0.0,217.0,0.0,3.1,15.2
135,14110,"Sills, David",TBB,WR,18.2,4.6,7.0,72.0,1.3,1.3,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.1,0.0,0.0,0.0,191.0,0.0,2.1,15.1
