Rank,Player ID,Player Name,Team,Position,Rush,Rush Yds,Rush TDs,0-9 RushTDs,10-19 RushTDs,20-29 RushTDs,30-39 RushTDs,40-49 RushTDs,50+ RushTDs,>= 50yds,>= 100yds,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,>= 50yds,>= 100yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
102,16746,"Ali, Rasheen",BAL,RB,14.7,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,13.1,1.2,7.3,45.0,0.1,0.2,0.1,500.0,0.0,0.1,10.7
103,15718,"Badie, Tyler",DEN,RB,6.1,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,19.7,3.7,12.3,82.0,0.0,0.3,0.2,415.0,0.0,1.1,10.6
104,17048,"Johnson, Kaleb",PIT,RB,32.5,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,4.6,0.0,3.3,20.0,0.0,0.1,0.0,225.0,0.0,0.5,10.5
105,15726,"Rivers, Ronnie",LAR,RB,14.5,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,3.4,0.0,1.3,11.0,0.0,0.0,0.0,718.0,0.0,0.3,8.1
106,16957,"Jennings, Terrell",NEP,RB,19.9,65.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.3,0.1,1.3,0.0,0.2,2.0,0.0,0.0,0.0,64.0,0.0,1.5,8.0
107,17486,"Miller, Jam",NEP,RB,25.9,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,4.2,0.0,1.9,5.0,0.0,0.0,0.0,367.0,0.4,1.5,7.5
108,15713,"Ford, Jerome",WAS,RB,9.5,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,14.6,3.6,11.7,50.0,0.0,0.2,0.1,219.0,0.0,2.0,7.1
109,15650,"Prentice, Adam",DEN,RB,8.5,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,7.3,1.2,4.3,44.0,0.0,0.2,0.1,0.0,0.0,2.2,6.6
110,16816,"Brooks, British",HOU,RB,17.4,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.6,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,4.5,5.8
111,17058,"Brooks, Tahj",CIN,RB,16.4,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,2.4,0.0,1.0,9.0,0.0,0.0,0.0,385.0,0.0,0.0,5.7
112,17475,"McGowan, Seth",IND,RB,14.2,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,3.7,0.0,1.8,6.0,0.0,0.0,0.0,134.0,0.0,0.0,5.6
113,17056,"Etienne, Trevor",CAR,RB,10.9,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,1.1,0.0,1.1,3.0,0.0,0.0,0.0,548.0,0.0,1.1,4.9
114,16613,"Laube, Dylan",LVR,RB,8.5,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,3.3,0.0,2.2,14.0,0.0,0.1,0.0,662.0,0.2,0.2,3.2
115,16678,"Vaki, Sione",DET,RB,6.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.7,0.0,0.7,5.0,0.0,0.0,0.0,890.0,0.0,0.0,2.7
116,15730,"Goodson, Tyler",ATL,RB,5.9,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.5,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,2.5
117,14805,"Dillon, AJ",CAR,RB,5.8,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,0.0,1.0,9.0,0.0,0.0,0.0,77.0,0.6,0.0,2.5
118,15717,"Pierce, Dameon",PHI,RB,5.7,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,168.0,0.0,0.0,1.9
